2000, 0.00182, 0.002
4000, 0.00182, 0.002
6000, 0.00183, 0.002
8000, 0.00182, 0.002
10000, 0.00179, 0.002
12000, 0.00183, 0.002
14000, 0.00178, 0.002
16000, 0.00182, 0.002
18000, 0.00181, 0.002
20000, 0.00178, 0.002
22000, 0.00170, 0.002
24000, 0.00178, 0.002
26000, 0.00178, 0.002
28000, 0.00175, 0.002
30000, 0.00178, 0.002
32000, 0.00177, 0.002
34000, 0.00179, 0.002
36000, 0.00184, 0.002
38000, 0.00176, 0.002
40000, 0.00175, 0.002
42000, 0.00177, 0.002
44000, 0.00177, 0.002
46000, 0.00177, 0.002
48000, 0.00177, 0.002
50000, 0.00178, 0.002
52000, 0.00182, 0.002
54000, 0.00173, 0.002
56000, 0.00176, 0.002
58000, 0.00173, 0.002
60000, 0.00173, 0.002
62000, 0.00172, 0.002
64000, 0.00182, 0.002
66000, 0.00172, 0.002
68000, 0.00172, 0.002
70000, 0.00172, 0.002
72000, 0.00174, 0.002
74000, 0.00175, 0.002
76000, 0.00175, 0.002
78000, 0.00177, 0.002
80000, 0.00173, 0.002
82000, 0.00176, 0.002
84000, 0.00177, 0.002
86000, 0.00171, 0.002
88000, 0.00174, 0.002
90000, 0.00171, 0.002
92000, 0.00176, 0.002
94000, 0.00172, 0.002
96000, 0.00170, 0.002
98000, 0.00169, 0.002
100000, 0.00172, 0.002
102000, 0.00175, 0.002
104000, 0.00173, 0.002
106000, 0.00172, 0.002
108000, 0.00169, 0.002
110000, 0.00170, 0.002
112000, 0.00169, 0.002
114000, 0.00173, 0.002
116000, 0.00172, 0.002
118000, 0.00167, 0.002
120000, 0.00170, 0.002
122000, 0.00169, 0.002
124000, 0.00172, 0.002
126000, 0.00175, 0.002
128000, 0.00175, 0.002
130000, 0.00169, 0.002
132000, 0.00173, 0.002
134000, 0.00170, 0.002
136000, 0.00171, 0.002
138000, 0.00174, 0.002
140000, 0.00173, 0.002
142000, 0.00170, 0.002
144000, 0.00168, 0.002
146000, 0.00167, 0.002
148000, 0.00166, 0.002
150000, 0.00170, 0.002
152000, 0.00168, 0.002
154000, 0.00170, 0.002
156000, 0.00168, 0.002
158000, 0.00168, 0.002
160000, 0.00172, 0.002
162000, 0.00167, 0.002
