scorer,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon
bodyparts,snout,snout,tailbase,tailbase,leftear,leftear,rightear,rightear,leftflank,leftflank,rightflank,rightflank,leftfrontpaw,leftfrontpaw,rightfrontpaw,rightfrontpaw,leftbackpaw,leftbackpaw,rightbackpaw,rightbackpaw
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/5181_60minHabD3.00/img38622.png,23.001142857142867,415.45428571428573,126.68114285714287,327.82,67.43542857142856,398.1742857142857,39.046857142857135,362.38,101.99542857142862,380.89428571428573,62.49828571428574,333.99142857142857,,,2.018285714285696,366.08285714285716,130.38400000000004,369.7857142857143,,
labeled-data/5181_60minHabD3.00/img38632.png,,,210.9181818181819,155.3441558441557,,,,,134.86623376623385,157.8376623376622,179.74935064935073,99.2402597402596,,,,,,,,
labeled-data/5181_60minHabD3.00/img40107.png,8.553922077922152,452.4703896103896,97.44327272727278,400.11090909090905,68.21937662337669,440.2937662337662,,,112.05522077922089,453.6880519480519,,,75.52535064935071,504.8298701298701,10.989246753246846,499.95922077922074,125.44950649350656,447.5997402597402,,
labeled-data/5181_60minHabD3.00/img40501.png,18.29522077922087,491.43558441558434,147.36742857142863,412.2875324675324,65.78405194805205,469.5176623376623,37.777818181818276,432.98779220779215,102.31392207792217,451.2527272727272,73.09002597402608,391.5872727272727,2.4656103896104753,480.47662337662337,1.2479480519481285,409.85220779220776,,,135.19080519480528,380.6283116883116
labeled-data/5181_60minHabD3.00/img40595.png,31.641142857142853,366.08285714285716,194.56685714285717,405.58000000000004,78.54400000000001,399.40857142857146,92.12114285714287,367.31714285714287,126.68114285714287,438.90571428571434,140.25828571428573,374.72285714285715,,,,,,,,
labeled-data/5181_60minHabD3.00/img40843.png,48.07934868300755,475.14543553904196,137.46895230837538,318.3988770692067,,,60.66943370066498,421.0080699631149,145.65250756985273,378.8312851539624,74.51852722008816,356.7986363730619,,,,,,,,
labeled-data/5181_60minHabD3.00/img43878.png,,,112.12426496674047,383.0556328159645,55.53889911308195,449.4148345898004,45.76506319290456,421.6365640798226,116.75397671840344,447.35718492239465,73.02892128603094,402.60330465631927,46.79388802660745,504.9713756097561,,,139.9025354767183,429.8671627494457,,
labeled-data/5181_60minHabD3.00/img45585.png,47.46994795497546,472.0478684929235,163.62363553723446,384.0391129017503,105.10004679386549,444.3496814540771,81.42256432517425,419.33196412866744,151.11477687452964,451.05085573766894,109.56749631626008,397.8882064211735,80.52907442069534,489.02417667802285,,,167.1975951551501,452.8378355466268,,
labeled-data/5181_60minHabD3.00/img46118.png,,,201.93947637728124,125.92580070336166,111.13596281767016,37.421110271842,121.48066689408154,7.536409606653535,135.27360566263008,101.78815785840175,178.95124509636705,62.133458898824756,62.285971345727496,23.62817150329346,,,151.94007334129287,133.39697586965877,,
labeled-data/5181_60minHabD3.00/img46243.png,105.1925769352599,146.73471910203614,185.38902073536218,80.17712628834579,132.4702789080838,106.36372018225674,98.10037442232567,94.3615313142142,165.74907531492897,94.90708535367068,110.1025632903682,45.80722180258766,,,,,,,,
labeled-data/5181_60minHabD3.00/img46626.png,,,265.0688024985127,341.69885742296253,157.9429853658536,376.4799668816181,138.46556406900646,358.8575380892326,224.25896740035688,363.49501935038666,196.4340798334324,301.8165185770375,,,,,,,,
labeled-data/5181_60minHabD3.00/img46944.png,84.74802046400947,132.45173421534804,220.90974515169538,176.5979183914337,117.19280642474712,132.45173421534804,123.5753872694824,108.51705604759076,165.0621627602617,176.06603665437243,182.08237834622244,105.85764736228441,,,,,,,,
labeled-data/5181_60minHabD3.00/img47006.png,,,234.16173059866958,177.8991730968219,147.5100306725794,105.12857073170738,177.796061714708,109.334963932003,167.70071803399847,186.73259881744275,203.87569955654095,134.9939624538064,,,,,,,,
