scorer,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon
bodyparts,snout,snout,tailbase,tailbase,leftear,leftear,rightear,rightear,leftflank,leftflank,rightflank,rightflank,leftfrontpaw,leftfrontpaw,rightfrontpaw,rightfrontpaw,leftbackpaw,leftbackpaw,rightbackpaw,rightbackpaw
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/5468_60minOF+CNO1.00/img43001.png,,,481.29324577861166,381.29004605150965,,,,,532.6890044914435,427.22784808687265,483.11256467110127,435.41478310307593,,,,,,,,
labeled-data/5468_60minOF+CNO1.00/img43416.png,,,425.9368352171326,423.752360261749,,,,,492.87299226650794,421.56965948839985,473.22868530636515,459.76692302201076,,,,,,,,
labeled-data/5468_60minOF+CNO1.00/img43718.png,,,149.46806662700772,115.1606857822726,248.5990600832837,63.81591481261168,253.17433670434258,98.38467150505664,195.72919690660316,59.74900226055945,217.58885187388452,108.04358881618106,,,,,,,,
labeled-data/5468_60minOF+CNO1.00/img44125.png,,,174.81564544913743,142.98646948245099,109.44189173111243,149.0961660916122,87.44698393813208,113.65992575847713,145.4891017251636,140.5425908387865,128.38195121951222,90.44307864366453,,,67.28498512790009,110.60507745389657,,,,
labeled-data/5468_60minOF+CNO1.00/img44240.png,,,196.09997620464003,144.22250707911957,76.14004759071977,84.9164749553837,92.98835217132655,60.65491635930994,115.22811421772748,124.6784737656157,146.9029268292682,88.28613587150505,,,,,206.88289113622835,106.48230481856041,,
labeled-data/5468_60minOF+CNO1.00/img44901.png,358.81959747569493,135.85050997782713,443.34970151799405,224.90901245096373,393.0341633975779,177.61240661777254,422.7203308886235,150.94517141395198,420.20455398260265,190.69444652908075,448.88441071123987,160.50512365683105,,,403.6004264028653,128.80633464096886,,,,
labeled-data/5468_60minOF+CNO1.00/img46035.png,,,199.9653420582986,457.96732754312916,110.5445687091017,526.3796059488401,,,,,143.40400951814394,464.4314798334326,66.91154074955382,511.83526329565746,75.53041046995834,477.3597844140394,,,,
labeled-data/5468_60minOF+CNO1.00/img46305.png,559.5978566149298,379.9244198078346,493.3007390983001,365.51200295639336,,,,,,,498.1048780487805,431.328706577975,,,571.1277900960828,452.46691796008884,,,,
labeled-data/5468_60minOF+CNO1.00/img47593.png,,,415.5132128034566,382.33024162829054,507.2296264710898,462.2665654670534,,,484.5108818011256,422.7191210415602,444.5427198817441,444.5964307237479,,,,,,,,
labeled-data/5468_60minOF+CNO1.00/img49978.png,,,395.02690065437235,133.01980202260575,515.4881975014871,140.21152123735885,505.2999286139202,167.18046829268306,458.55375371802495,119.83498346222501,451.3620345032718,170.17701796549687,,,,,,,,
labeled-data/5468_60minOF+CNO1.00/img58857.png,,,432.8765307862868,151.8007061231453,528.0752345215759,112.78484393655143,515.5901586218658,140.35605321507776,467.2104895104894,91.45617260788009,480.2157769060207,149.7198601398603,,,,,,,,
labeled-data/5468_60minOF+CNO1.00/img60953.png,,,401.14425936942297,455.0266246281976,,,,,466.71856038072576,435.6131802498514,464.1301011302796,478.7541677572874,,,,,,,,
labeled-data/5468_60minOF+CNO1.00/img62336.png,,,147.35495480129626,149.3337097049293,,,,,132.6184717721303,82.74663823980904,,,,,,,,,,
labeled-data/5468_60minOF+CNO1.00/img66699.png,,,453.3352720450281,401.16997100460526,,,,,516.8010745352208,424.05927682074037,479.8660583319119,455.2719665700155,,,,,,,,
labeled-data/5468_60minOF+CNO1.00/img67000.png,,,387.82818560380724,430.2277915526473,305.05345627602617,428.0870657941702,336.45076740035694,441.6449955978585,323.60641284949435,479.4644839976205,362.8530517549078,445.9264471148127,,,,,,,,
labeled-data/5468_60minOF+CNO1.00/img67744.png,,,467.39878901586223,174.44713286713295,514.9512365683097,60.78518505884375,541.0470919324578,81.08196145318112,476.0974074705782,103.69836943544274,516.690960259253,122.25542213883688,,,,,,,,
labeled-data/5468_60minOF+CNO1.00/img73933.png,,,161.61549263744385,205.35599636136232,75.23195747342092,102.82600602649393,,,97.83699471260451,169.02647222696015,136.58848712263347,139.96285291943838,,,,,,,,
labeled-data/5468_60minOF+CNO1.00/img75665.png,,,464.6357439308659,178.46816874182738,,,,,447.65069645801356,135.6658491102395,493.17062368525785,118.6808016373871,,,,,436.1008641764739,125.47482062652807,,
labeled-data/5468_60minOF+CNO1.00/img78243.png,425.09333729922656,466.4251464604403,507.4063414634145,367.5460030933969,469.6148364069005,475.2259079119573,467.5440690065436,445.1997806067818,532.2555502676976,421.9036473527663,488.7694348602021,413.10288590124935,,,,,,,,
labeled-data/5468_60minOF+CNO1.00/img78412.png,,,497.6326681448632,367.59796609894175,,,,,533.5451621549182,420.8874733396685,482.57259001161435,417.41207069353413,,,,,,,,
